,chem_colors,chem_pc1,chem_pc2,docking_score,label,mmgbsa,png,site_colors,site_pc1,site_pc2,url
ZINC000001288616,#5a5255,-1.405342041528891,0.517877013559504,-6.922900059152759,ZINC000001288616,-69.8310729170989,http://zinc15.docking.org/substances/ZINC000001288616.png,#554c78,1.8100447603136025,0.21981634482561307,http://zinc15.docking.org/substances/ZINC000001288616/
ZINC000006664701,#5a5255,-1.316910416246144,0.10572534722927818,-6.586409359903881,ZINC000006664701,-68.9885976355981,http://zinc15.docking.org/substances/ZINC000006664701.png,#cb2636,-3.020423936437897,1.4337530552018962,http://zinc15.docking.org/substances/ZINC000006664701/
ZINC000001667022,#5a5255,-0.9754493871387024,-0.36993011693936045,-7.606417575017459,ZINC000001667022,-68.8706146799959,http://zinc15.docking.org/substances/ZINC000001667022.png,#ff8b27,0.7736169304927079,-1.8269472704786598,http://zinc15.docking.org/substances/ZINC000001667022/
ZINC000604419319,#5a5255,-0.3869659518387023,-0.642409161086118,-5.3814894765953305,ZINC000604419319,-68.2365056496965,http://zinc15.docking.org/substances/ZINC000604419319.png,#cb2636,0.04188993071439056,2.0875090466099517,http://zinc15.docking.org/substances/ZINC000604419319/
ZINC000170591288,#ae5a41,-1.6896959493014083,-0.6473049698739404,-6.599730492846941,ZINC000170591288,-67.8549768330013,http://zinc15.docking.org/substances/ZINC000170591288.png,#ff8b27,-0.7312532289260011,-1.8801827136051816,http://zinc15.docking.org/substances/ZINC000170591288/
ZINC000001568060,#5a5255,-1.0190960701022764,-0.539362668881299,-7.1114534572121295,ZINC000001568060,-67.44988429799561,http://zinc15.docking.org/substances/ZINC000001568060.png,#ff8b27,0.9689471838186644,-1.5325166290978713,http://zinc15.docking.org/substances/ZINC000001568060/
ZINC000001530775,#5a5255,-1.1140461571390208,-0.3719937614432376,-7.2977518171493605,ZINC000001530775,-67.36999161399939,http://zinc15.docking.org/substances/ZINC000001530775.png,#ff8b27,0.590102887364285,-2.1030808535578167,http://zinc15.docking.org/substances/ZINC000001530775/
ZINC000019908818,#1b85b8,-0.6357226328439148,1.9745637445842479,-5.56285470988981,ZINC000019908818,-67.0995790459965,http://zinc15.docking.org/substances/ZINC000019908818.png,#cb2636,0.018215847601845258,2.056490117591781,http://zinc15.docking.org/substances/ZINC000019908818/
ZINC000029043612,#1b85b8,0.613533118057024,0.9996780414255108,-7.71703011572011,ZINC000029043612,-66.51147410169871,http://zinc15.docking.org/substances/ZINC000029043612.png,#cb2636,-2.533652665766294,1.65456695258793,http://zinc15.docking.org/substances/ZINC000029043612/
ZINC000031552274,#5a5255,-0.7940359566238636,-0.11761613412562576,-5.518410024124969,ZINC000031552274,-66.46359718480021,http://zinc15.docking.org/substances/ZINC000031552274.png,#cb2636,-0.03213630344578619,0.8774690889213641,http://zinc15.docking.org/substances/ZINC000031552274/
ZINC000001705403,#5a5255,-1.1140461571390206,-0.3719937614432375,-7.16709616986017,ZINC000001705403,-66.2783773019983,http://zinc15.docking.org/substances/ZINC000001705403.png,#ff8b27,0.5253717808331805,-1.9321586679062626,http://zinc15.docking.org/substances/ZINC000001705403/
ZINC000005439936,#5a5255,-1.1593200048620582,-0.42847123511829416,-7.5317007090760395,ZINC000005439936,-65.93711282889849,http://zinc15.docking.org/substances/ZINC000005439936.png,#cb2636,-1.6622817129026008,1.9609739591396367,http://zinc15.docking.org/substances/ZINC000005439936/
ZINC000253386553,#5a5255,-0.8896109960596869,-0.7037693492319477,-8.06043257367673,ZINC000253386553,-65.3379333348494,http://zinc15.docking.org/substances/ZINC000253386553.png,#cb2636,-2.5273673493881517,1.5588981348868751,http://zinc15.docking.org/substances/ZINC000253386553/
ZINC000019820734,#5a5255,-0.3220479192544325,-0.38214551791846246,-5.32602507556242,ZINC000019820734,-65.07387065429789,http://zinc15.docking.org/substances/ZINC000019820734.png,#cb2636,-0.10423788251227735,0.7359840016936178,http://zinc15.docking.org/substances/ZINC000019820734/
ZINC000019820332,#5a5255,-0.3823478785777052,-0.2888972119481501,-5.23034138086874,ZINC000019820332,-64.92187876289971,http://zinc15.docking.org/substances/ZINC000019820332.png,#cb2636,0.07202856404768337,0.4488405903379462,http://zinc15.docking.org/substances/ZINC000019820332/
ZINC000257330416,#1b85b8,-0.08139651565471426,2.194977331836978,-5.2485357473582805,ZINC000257330416,-64.6443044316984,http://zinc15.docking.org/substances/ZINC000257330416.png,#cb2636,-2.7074669148967008,1.7183229450723407,http://zinc15.docking.org/substances/ZINC000257330416/
ZINC000045498706,#1b85b8,0.5435108138087739,1.4487928799295882,-7.05569577996194,ZINC000045498706,-64.6214070843234,http://zinc15.docking.org/substances/ZINC000045498706.png,#cb2636,-2.7137618525804434,1.8041881901253973,http://zinc15.docking.org/substances/ZINC000045498706/
ZINC000009353765,#5a5255,-1.0116249397933528,-0.23395984842524947,-5.54689972115687,ZINC000009353765,-64.3782549940006,http://zinc15.docking.org/substances/ZINC000009353765.png,#cb2636,0.5120429723640408,1.5924607055839943,http://zinc15.docking.org/substances/ZINC000009353765/
ZINC000005373209,#5a5255,-1.4250698364071157,-0.3924481389959349,-5.71346154147231,ZINC000005373209,-64.3350401865428,http://zinc15.docking.org/substances/ZINC000005373209.png,#cb2636,-2.1222892693402846,1.887234506672337,http://zinc15.docking.org/substances/ZINC000005373209/
ZINC000225342436,#1b85b8,-0.8774639847620099,2.471424855389789,-5.23997716014408,ZINC000225342436,-64.1724447652996,http://zinc15.docking.org/substances/ZINC000225342436.png,#cb2636,-0.6024415254045951,2.4569746348786925,http://zinc15.docking.org/substances/ZINC000225342436/
ZINC000012073406,#1b85b8,-1.1774934750029995,1.944485809405278,-5.8388360144351195,ZINC000012073406,-63.875880536998,http://zinc15.docking.org/substances/ZINC000012073406.png,#cb2636,-2.2154443777808286,1.278816436814543,http://zinc15.docking.org/substances/ZINC000012073406/
ZINC000257230414,#559e83,0.9237448132078011,0.04732949388438544,-7.195466855297589,ZINC000257230414,-63.8083262572,http://zinc15.docking.org/substances/ZINC000257230414.png,#554c78,1.826594569929786,1.0096081642019168,http://zinc15.docking.org/substances/ZINC000257230414/
ZINC000005373210,#5a5255,-1.4250698364071157,-0.3924481389959349,-5.95497425243155,ZINC000005373210,-63.7065312240775,http://zinc15.docking.org/substances/ZINC000005373210.png,#cb2636,-2.319822330158927,1.7420493201059248,http://zinc15.docking.org/substances/ZINC000005373210/
